Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
3076906350,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 119,99 ",0.103989,18/07/2025 14:12:20,18/07/2025 15:10:37,20," 0,36 ",0.00," 2,48 ",-,-," 23.078,57 "," 23.054,69 "," 22.502,53 "," 23.655,55 "," 0,00 ",-,CFD,US6311011026,
3076903479,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,98 ",0.173306,18/07/2025 14:11:30,18/07/2025 14:11:47,20," 0,60 ",0.00,"(0,64)",-,-," 23.079,33 "," 23.075,62 "," 23.655,94 "," 22.502,38 "," 0,00 ",-,CFD,US6311011026,
3076185411,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 149,99 ",0.129912,17/07/2025 20:31:35,18/07/2025 14:09:25,20," 0,44 ",0.00," 0,91 ",-,-," 23.092,47 "," 23.085,49 "," 23.015,49 "," 23.669,78 ","(0,05)",-,CFD,US6311011026,
3076388094,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 120,00 ",0.103892,18/07/2025 07:36:19,18/07/2025 14:09:25,20," 0,36 ",0.00," 1,64 ",-,-," 23.101,27 "," 23.085,49 "," 22.523,35 "," 23.678,39 "," 0,00 ",-,CFD,US6311011026,
3076445545,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 61,39 ",0.053103,18/07/2025 09:36:09,18/07/2025 14:09:25,20," 0,18 ",0.00,"(2,28)",-,-," 23.124,24 "," 23.081,37 "," 23.702,65 "," 22.546,43 "," 0,00 ",-,CFD,US6311011026,
3076466599,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 58,60 ",0.050685,18/07/2025 09:36:09,18/07/2025 10:39:12,20," 0,18 ",0.00,"(1,43)",-,-," 23.124,24 "," 23.096,07 "," 23.702,65 "," 22.546,43 "," 0,00 ",-,CFD,US6311011026,
3076254555,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 120,00 ",0.103815,18/07/2025 05:05:51,18/07/2025 07:36:05,20," 0,36 ",0.00," 1,27 ",-,-," 23.117,87 "," 23.105,64 "," 22.539,92 "," 23.695,82 "," 0,00 ",-,CFD,US6311011026,
3075426221,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.104535,17/07/2025 13:45:26,17/07/2025 14:28:24,20," 0,36 ",0.00," 2,09 ",-,-," 22.958,22 "," 22.978,18 "," 23.536,34 "," 22.388,22 "," 0,00 ",-,CFD,US6311011026,
3075277317,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.104606,17/07/2025 13:22:04,17/07/2025 13:45:17,20," 0,36 ",0.00," 1,65 ",-,-," 22.942,43 "," 22.958,23 "," 22.971,11 "," 22.370,23 "," 0,00 ",-,CFD,US6311011026,
3075144495,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,47 ",0.087514,17/07/2025 07:33:36,17/07/2025 12:54:28,20," 0,30 ",0.00," 0,95 ",-,-," 22.960,93 "," 22.971,78 "," 22.978,15 "," 22.387,00 "," 0,00 ",-,CFD,US6311011026,
3075194794,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 61,52 ",0.053621,17/07/2025 09:48:42,17/07/2025 12:31:03,20," 0,18 ",0.00,"(0,39)",-,-," 22.946,93 "," 22.939,58 "," 23.520,55 "," 22.373,21 "," 0,00 ",-,CFD,US6311011026,
3075228405,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 58,47 ",0.050968,17/07/2025 09:48:42,17/07/2025 11:36:29,20," 0,18 ",0.00,"(1,54)",-,-," 22.946,93 "," 22.916,68 "," 23.520,55 "," 22.373,21 "," 0,00 ",-,CFD,US6311011026,
3075169998,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.130792,17/07/2025 08:34:30,17/07/2025 09:48:34,20," 0,44 ",0.00," 0,82 ",-,-," 22.937,43 "," 22.943,68 "," 23.510,76 "," 22.364,01 "," 0,00 ",-,CFD,US6311011026,
3075144782,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 99,52 ",0.086694,17/07/2025 07:33:36,17/07/2025 07:34:13,20," 0,30 ",0.00,"(0,50)",-,-," 22.960,93 "," 22.955,18 "," 22.978,15 "," 22.387,00 "," 0,00 ",-,CFD,US6311011026,
3075063727,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 169,99 ",0.148009,17/07/2025 06:27:18,17/07/2025 06:43:17,20," 0,50 ",0.00," 1,37 ",-,-," 22.971,13 "," 22.980,38 "," 34.404,74 "," 22.396,85 "," 0,00 ",-,CFD,US6311011026,
3075059743,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,98 ",0.104637,17/07/2025 06:05:25,17/07/2025 06:06:51,20," 0,36 ",0.00," 1,42 ",-,-," 22.934,43 "," 22.947,98 "," 23.506,46 "," 22.361,12 "," 0,00 ",-,CFD,US6311011026,
3075021532,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 80,41 ",0.07032,16/07/2025 22:56:13,17/07/2025 05:28:40,20," 0,24 ",0.00," 1,16 ",-,-," 22.869,83 "," 22.886,28 "," 23.442,14 "," 22.298,62 "," 0,00 ",-,CFD,US6311011026,
3075023184,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 79,59 ",0.069602,16/07/2025 22:56:13,16/07/2025 23:33:56,20," 0,24 ",0.00,"(0,41)",-,-," 22.869,83 "," 22.863,89 "," 23.442,14 "," 22.298,62 "," 0,00 ",-,CFD,US6311011026,
