Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
16/01/2025 00:47:48,Weekend refund,Weekend Fee," 1,80 ",-," 1,80 "," 4.518,89 "," 3.108,94 ",2915384073,CFD," 0,00 "
16/01/2025 00:47:48,Weekend refund,Weekend Fee," 1,44 ",-," 1,44 "," 4.520,33 "," 3.110,38 ",2914729654,CFD," 0,00 "
16/01/2025 00:47:48,Weekend refund,Weekend Fee," 1,08 ",-," 1,08 "," 4.521,41 "," 3.111,46 ",2914380032,CFD," 0,00 "
16/01/2025 00:47:48,Overnight fee,Daily,"(0,70)",-,"(0,70)"," 4.520,71 "," 3.110,76 ",2915456210,CFD," 0,00 "
16/01/2025 00:47:48,Overnight fee,Daily,"(0,71)",-,"(0,71)"," 4.520,00 "," 3.110,05 ",2915512467,CFD," 0,00 "
16/01/2025 00:47:48,Overnight fee,Daily,"(1,29)",-,"(1,29)"," 4.518,71 "," 3.108,76 ",2915441940,CFD," 0,00 "
16/01/2025 06:01:55,Open Position,NSDQ100/USD," 250,00 ",0.235741," 0,00 "," 4.518,71 "," 2.858,76 ",2915569065,CFD," 0,00 "
16/01/2025 06:53:05,Position closed,NSDQ100/USD," 263,96 ",0.235741," 13,96 "," 4.532,67 "," 3.122,72 ",2915569065,CFD," 0,00 "
16/01/2025 06:53:11,Position closed,NSDQ100/USD," 253,20 ",0.235231," 3,20 "," 4.535,87 "," 3.375,92 ",2915539257,CFD," 0,00 "
16/01/2025 06:54:16,Open Position,NSDQ100/USD," 149,99 ",0.141003," 0,00 "," 4.535,87 "," 3.225,93 ",2915576658,CFD," 0,00 "
16/01/2025 07:55:50,Position closed,NSDQ100/USD," 298,77 ",0.258329," 23,78 "," 4.559,65 "," 3.524,70 ",2915441940,CFD," 0,00 "
16/01/2025 07:55:50,Position closed,NSDQ100/USD," 165,02 ",0.141003," 15,03 "," 4.574,68 "," 3.689,72 ",2915576658,CFD," 0,00 "
16/01/2025 07:55:50,Position closed,NSDQ100/USD," 165,93 ",0.141046," 15,94 "," 4.590,62 "," 3.855,65 ",2915456210,CFD," 0,00 "
16/01/2025 07:56:51,Open Position,NSDQ100/USD," 219,44 ",0.187014," 0,00 "," 4.590,62 "," 3.655,66 ",2915598504,CFD," 0,00 "
16/01/2025 08:19:58,Open Position,USD/JPY," 250,00 ",7500.000000," 0,00 "," 4.590,62 "," 3.405,66 ",2915623483,CFD," 0,00 "
