Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
05/01/2025 23:17:07,Open Position,NSDQ100/USD," 300,00 ",0.281114," 0,00 "," 2.318,82 "," 1.893,82 ",2901453042,CFD," 0,00 "
05/01/2025 23:36:18,Open Position,NSDQ100/USD," 99,99 ",0.093827," 0,00 "," 2.318,82 "," 1.793,83 ",2901456107,CFD," 0,00 "
06/01/2025 09:36:24,Position closed,NSDQ100/USD," 112,82 ",0.093827," 12,83 "," 2.331,65 "," 1.906,65 ",2901456107,CFD," 0,00 "
06/01/2025 09:36:25,Position closed,NSDQ100/USD," 330,55 ",0.281114," 30,55 "," 2.362,20 "," 2.237,20 ",2901453042,CFD," 0,00 "
06/01/2025 09:40:44,Open Position,NSDQ100/USD," 250,00 ",0.233133," 0,00 "," 2.362,20 "," 1.987,20 ",2901621291,CFD," 0,00 "
06/01/2025 09:57:09,Position closed,NSDQ100/USD," 254,87 ",0.233133," 4,87 "," 2.367,07 "," 2.242,07 ",2901621291,CFD," 0,00 "
06/01/2025 09:57:45,Open Position,NSDQ100/USD," 199,99 ",0.186285," 0,00 "," 2.367,07 "," 2.042,08 ",2901626264,CFD," 0,00 "
06/01/2025 12:40:33,Position closed,NSDQ100/USD," 210,86 ",0.186285," 10,87 "," 2.377,94 "," 2.252,94 ",2901626264,CFD," 0,00 "
06/01/2025 12:41:15,Open Position,NSDQ100/USD," 250,00 ",0.232198," 0,00 "," 2.377,94 "," 2.002,94 ",2901737102,CFD," 0,00 "
06/01/2025 13:34:16,Position closed,NSDQ100/USD," 251,11 ",0.232198," 1,11 "," 2.379,05 "," 2.254,05 ",2901737102,CFD," 0,00 "
06/01/2025 13:36:26,Open Position,USD/JPY," 150,00 ",4500.000000," 0,00 "," 2.379,05 "," 2.104,05 ",2901766567,CFD," 0,00 "
06/01/2025 13:37:09,Open Position,NSDQ100/USD," 199,99 ",0.185641," 0,00 "," 2.379,05 "," 1.904,06 ",2901766914,CFD," 0,00 "
