Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop lose rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
2850201354,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 399,99 ",0.378987,08/11/2024 17:34:46,08/11/2024 20:30:49,20," 1,20 ",0.00,"(0,06)",-,-," 21.108,87 "," 21.109,04 "," 20.581,25 "," 21.636,59 "," 0,00 ",-,CFD,US6311011026,
2850310424,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.189203,08/11/2024 19:14:40,08/11/2024 19:45:44,20," 0,60 ",0.00," 1,18 ",-,-," 21.141,23 "," 21.147,46 "," 21.669,56 "," 20.612,70 "," 0,00 ",-,CFD,US6311011026,
2850280956,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 500,00 ",0.472981,08/11/2024 18:43:10,08/11/2024 18:54:00,20," 1,50 ",0.00," 3,60 ",-,-," 21.142,46 "," 21.134,84 "," 20.613,80 "," 21.671,02 "," 0,00 ",-,CFD,US6311011026,
2850201571,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.284164,08/11/2024 17:34:56,08/11/2024 18:11:15,20," 0,90 ",0.00," 1,88 ",-,-," 21.114,34 "," 21.120,97 "," 21.642,51 "," 20.586,48 "," 0,00 ",-,CFD,US6311011026,
2850197054,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.284415,08/11/2024 17:30:23,08/11/2024 17:32:42,20," 0,90 ",0.00," 2,60 ",-,-," 21.096,03 "," 21.105,17 "," 21.623,74 "," 20.568,64 "," 0,00 ",-,CFD,US6311011026,
2850176515,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 399,99 ",0.379233,08/11/2024 17:19:07,08/11/2024 17:23:39,20," 1,20 ",0.00," 1,65 ",-,-," 21.094,97 "," 21.090,63 "," 20.567,01 "," 21.622,35 "," 0,00 ",-,CFD,US6311011026,
2850178244,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 729,99 ",0.692058,08/11/2024 17:21:05,08/11/2024 17:23:02,20," 2,19 ",0.00," 2,66 ",-,-," 21.096,47 "," 21.092,63 "," 20.569,25 "," 21.623,88 "," 0,00 ",-,CFD,US6311011026,
2850163293,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 399,99 ",0.379224,08/11/2024 17:06:56,08/11/2024 17:16:16,20," 1,20 ",0.00," 1,84 ",-,-," 21.095,67 "," 21.090,83 "," 20.569,45 "," 21.623,06 "," 0,00 ",-,CFD,US6311011026,
2850140890,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 500,00 ",0.473979,08/11/2024 17:04:20,08/11/2024 17:15:35,20," 1,50 ",0.00," 3,29 ",-,-," 21.097,97 "," 21.091,03 "," 20.570,91 "," 21.625,41 "," 0,00 ",-,CFD,US6311011026,
2850116502,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 729,99 ",0.691888,08/11/2024 16:49:46,08/11/2024 17:11:32,20," 2,19 ",0.00," 0,37 ",-,-," 21.101,67 "," 21.101,13 "," 20.573,35 "," 21.629,21 "," 0,00 ",-,CFD,US6311011026,
