Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,Notes
2901188486,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.234291,03/01/2025 19:19:23,03/01/2025 19:48:33,20," 0,75 ",0.00," 0,60 ",-,-," 21.340,96 "," 21.343,54 "," 21.873,97 "," 20.807,44 "," 0,00 ",-,CFD,
2901065235,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.187566,03/01/2025 18:41:19,03/01/2025 19:18:44,20," 0,60 ",0.00," 1,84 ",-,-," 21.325,95 "," 21.335,74 "," 21.858,69 "," 20.792,81 "," 0,00 ",-,CFD,
2901056988,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 250,00 ",0.234687,03/01/2025 18:35:31,03/01/2025 18:41:04,20," 0,75 ",0.00," 3,83 ",-,-," 21.304,95 "," 21.321,25 "," 21.837,37 "," 20.772,33 "," 0,00 ",-,CFD,
2900969807,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 239,99 ",0.225484,03/01/2025 16:51:04,03/01/2025 18:34:45,20," 0,72 ",0.00," 2,84 ",-,-," 21.287,45 "," 21.300,05 "," 21.821,48 "," 20.755,27 "," 0,00 ",-,CFD,
2901031991,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.235135,03/01/2025 18:02:53,03/01/2025 18:05:59,20," 0,75 ",0.00," 0,31 ",-,-," 21.264,35 "," 21.265,65 "," 21.796,06 "," 20.732,75 "," 0,00 ",-,CFD,
2900961973,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 239,99 ",0.225590,03/01/2025 16:43:16,03/01/2025 16:50:53,20," 0,72 ",0.00," 1,83 ",-,-," 21.277,45 "," 21.285,55 "," 21.809,90 "," 20.745,52 "," 0,00 ",-,CFD,
2900961626,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.282074,03/01/2025 16:42:47,03/01/2025 16:43:05,20," 0,90 ",0.00," 1,35 ",-,-," 21.270,95 "," 21.275,75 "," 21.801,49 "," 20.739,18 "," 0,00 ",-,CFD,
2900948050,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.235316,03/01/2025 16:34:24,03/01/2025 16:42:29,20," 0,75 ",0.00," 4,85 ",-,-," 21.247,95 "," 21.268,55 "," 21.780,48 "," 20.716,75 "," 0,00 ",-,CFD,
2900907467,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.235778,03/01/2025 16:04:41,03/01/2025 16:34:08,20," 0,75 ",0.00," 9,60 ",-,-," 21.206,35 "," 21.247,05 "," 21.733,54 "," 20.676,20 "," 0,00 ",-,CFD,
2900904066,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.283306,03/01/2025 16:01:47,03/01/2025 16:04:32,20," 0,90 ",-0.01," 6,75 ",-,-," 21.178,44 "," 21.202,25 "," 21.707,18 "," 20.648,98 "," 0,00 ",-,CFD,
