Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
3030406061,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 61,32 ",0.055107,29/05/2025 16:23:33,30/05/2025 19:39:59,20," 0,18 ",0.00,"(2,70)",-,-," 21.378,20 "," 21.329,20 "," 21.450,00 "," 20.800,00 ","(0,16)",-,CFD,US6311011026,
3030953635,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 101,99 ",0.095699,30/05/2025 15:03:57,30/05/2025 19:14:46,20," 0,30 ",0.00,"(1,99)",-,-," 21.316,50 "," 21.295,70 "," 21.350,00 "," 20.783,93 "," 0,00 ",-,CFD,US6311011026,
3031203048,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 101,99 ",0.09613,30/05/2025 18:44:48,30/05/2025 18:54:55,20," 0,30 ",0.00," 2,80 ",-,-," 21.220,79 "," 21.249,91 "," 21.300,00 "," 20.692,28 "," 0,00 ",-,CFD,US6311011026,
3031078288,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,96 ",0.113291,30/05/2025 16:27:44,30/05/2025 18:18:55,20," 0,36 ",0.00," 4,05 ",-,-," 21.178,89 "," 21.214,61 "," 21.300,67 "," 20.655,41 "," 0,00 ",-,CFD,US6311011026,
3031111130,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,97 ",0.142101,30/05/2025 16:30:35,30/05/2025 17:24:17,20," 0,44 ",0.00," 0,62 ",-,-," 21.108,28 "," 21.112,62 "," 21.300,00 "," 20.582,87 "," 0,00 ",-,CFD,US6311011026,
3031129252,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 104,98 ",0.099585,30/05/2025 16:49:02,30/05/2025 17:11:47,20," 0,32 ",0.00," 3,08 ",-,-," 21.085,38 "," 21.116,32 "," 21.609,50 "," 20.558,30 "," 0,00 ",-,CFD,US6311011026,
3031120834,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 129,98 ",0.123331,30/05/2025 16:38:22,30/05/2025 16:41:03,20," 0,38 ",0.00," 3,45 ",-,-," 21.079,28 "," 21.107,22 "," 21.606,89 "," 20.552,89 "," 0,00 ",-,CFD,US6311011026,
3031116098,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 129,98 ",0.123374,30/05/2025 16:34:41,30/05/2025 16:38:13,20," 0,38 ",0.00," 0,60 ",-,-," 21.072,38 "," 21.077,22 "," 21.300,00 "," 20.546,70 "," 0,00 ",-,CFD,US6311011026,
3030967746,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 74,98 ",0.070445,30/05/2025 15:20:35,30/05/2025 15:21:06,20," 0,22 ",0.00,"(0,86)",-,-," 21.290,20 "," 21.278,00 "," 21.820,76 "," 20.758,02 "," 0,00 ",-,CFD,US6311011026,
3030685140,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 63,58 ",0.057147,29/05/2025 16:23:33,30/05/2025 12:01:49,20," 0,18 ",0.00,"(1,58)",-,-," 21.378,20 "," 21.350,60 "," 21.450,00 "," 20.800,00 ","(0,16)",-,CFD,US6311011026,
3030527356,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 101,98 ",0.095758,29/05/2025 22:53:00,30/05/2025 08:21:26,20," 0,30 ",0.00," 3,07 ",-,-," 21.301,60 "," 21.333,70 "," 21.450,00 "," 20.769,12 "," 0,00 ",-,CFD,US6311011026,
3030594137,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 99,98 ",0.09393,30/05/2025 07:11:21,30/05/2025 08:21:18,20," 0,30 ",0.00," 4,05 ",-,-," 21.290,20 "," 21.333,30 "," 21.350,00 "," 20.758,00 "," 0,00 ",-,CFD,US6311011026,
3030184701,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.112201,29/05/2025 14:34:34,29/05/2025 14:54:42,20," 0,36 ",0.00," 6,63 ",-,-," 21.390,80 "," 21.449,89 "," 21.921,43 "," 20.856,05 "," 0,00 ",-,CFD,US6311011026,
