Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,Notes
2915535646,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.188264,15/01/2025 23:24:14,15/01/2025 23:47:22,20," 0,60 ",0.00," 1,09 ",-,-," 21.246,70 "," 21.252,50 "," 21.777,87 "," 20.715,54 "," 0,00 ",-,CFD,
2915512467,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141375,15/01/2025 21:14:26,15/01/2025 23:23:32,20," 0,45 ",0.00," 3,22 ",-,-," 21.220,10 "," 21.242,90 "," 21.750,60 "," 20.689,60 ","(0,71)",-,CFD,
2915428148,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.188008,15/01/2025 20:12:12,15/01/2025 20:25:00,20," 0,60 ",0.00," 1,35 ",-,-," 21.275,75 "," 21.282,95 "," 21.807,54 "," 20.743,86 "," 0,00 ",-,CFD,
2915408688,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.282268,15/01/2025 19:47:19,15/01/2025 20:11:34,20," 0,90 ",0.00," 3,50 ",-,-," 21.256,35 "," 21.268,75 "," 21.787,66 "," 20.724,95 "," 0,00 ",-,CFD,
2911399303,NVIDIA Corporation (NVDA.EXT),Long," 319,97 ",11.654527,10/01/2025 18:59:29,15/01/2025 19:49:11,5," 4,74 ",-0.12,"(22,83)",-,-," 137,28 "," 135,32 "," 138,13 "," 123,55 ","(2,34)",-,CFD,
2915407330,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.235301,15/01/2025 19:45:40,15/01/2025 19:47:04,20," 0,75 ",0.00," 1,32 ",-,-," 21.249,35 "," 21.254,95 "," 21.780,38 "," 20.718,12 "," 0,00 ",-,CFD,
2905931265,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 289,48 ",0.186783,07/01/2025 15:12:43,15/01/2025 19:42:49,20," 0,60 ",0.00,"(30,19)",-,-," 21.414,66 "," 21.253,05 "," 21.450,32 "," 20.400,15 ","(7,29)",-,CFD,
2905903612,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 365,23 ",0.233318,07/01/2025 15:07:07,15/01/2025 19:42:49,20," 0,74 ",-0.01,"(41,28)",-,-," 21.429,96 "," 21.253,05 "," 21.500,07 "," 20.400,35 ","(9,12)",-,CFD,
2905582138,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 392,26 ",0.231986,07/01/2025 14:57:14,15/01/2025 19:42:49,20," 0,74 ",0.00,"(69,58)",-,-," 21.552,97 "," 21.253,05 "," 21.600,31 "," 20.400,88 ","(9,05)",-,CFD,
2903936539,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 338,53 ",0.184380,06/01/2025 16:12:10,15/01/2025 19:42:49,20," 0,59 ",0.00,"(81,35)",-,-," 21.694,28 "," 21.253,05 "," 21.700,82 "," 20.400,61 ","(8,18)",-,CFD,
2906817461,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 337,71 ",0.234668,07/01/2025 18:21:28,15/01/2025 19:42:30,20," 0,75 ",0.00,"(12,44)",-,-," 21.306,65 "," 21.253,65 "," 21.320,01 "," 20.400,16 ","(9,16)",-,CFD,
2906817553,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 202,75 ",0.140792,07/01/2025 18:21:42,15/01/2025 19:40:37,20," 0,45 ",0.00,"(5,17)",-,-," 21.308,15 "," 21.271,45 "," 21.320,42 "," 20.400,73 ","(5,50)",-,CFD,
2915096483,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.188273,15/01/2025 15:19:46,15/01/2025 19:28:22,20," 0,60 ",0.00," 0,62 ",-,-," 21.245,65 "," 21.248,95 "," 21.300,89 "," 20.714,51 "," 0,00 ",-,CFD,
2906873075,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 196,08 ",0.141121,07/01/2025 19:17:41,15/01/2025 19:13:06,20," 0,45 ",0.00,"(4,11)",-,-," 21.258,35 "," 21.229,25 "," 21.300,68 "," 20.400,28 ","(5,52)",-,CFD,
2915163354,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141316,15/01/2025 15:39:41,15/01/2025 19:10:12,20," 0,45 ",0.00,"(0,25)",-,-," 21.228,95 "," 21.227,15 "," 21.300,85 "," 20.698,23 "," 0,00 ",-,CFD,
2915335769,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.188573,15/01/2025 18:20:52,15/01/2025 18:46:29,20," 0,60 ",0.00," 2,41 ",-,-," 21.211,85 "," 21.224,65 "," 21.742,97 "," 20.681,56 "," 0,00 ",-,CFD,
2915312086,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141524,15/01/2025 17:44:35,15/01/2025 18:20:07,20," 0,45 ",0.00," 1,76 ",-,-," 21.197,74 "," 21.210,15 "," 21.300,79 "," 20.667,80 "," 0,00 ",-,CFD,
2914750879,NVIDIA Corporation (NVDA.EXT),Long," 149,98 ",5.589048,15/01/2025 13:43:11,15/01/2025 15:39:17,5," 2,26 ",-0.11," 0,77 ",-,-," 134,18 "," 134,32 "," 402,52 "," 120,77 "," 0,00 ",-,CFD,
2915064435,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 99,99 ",0.094321,15/01/2025 15:04:19,15/01/2025 15:18:02,20," 0,30 ",0.00," 3,09 ",-,-," 21.204,15 "," 21.236,95 "," 21.736,51 "," 20.674,05 "," 0,00 ",-,CFD,
2915064005,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.235713,15/01/2025 15:04:04,15/01/2025 15:17:46,20," 0,75 ",0.00," 5,42 ",-,-," 21.212,15 "," 21.235,15 "," 21.746,76 "," 20.682,82 "," 0,00 ",-,CFD,
2915060054,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.235777,15/01/2025 15:02:17,15/01/2025 15:03:54,20," 0,75 ",0.00," 1,25 ",-,-," 21.206,45 "," 21.211,75 "," 21.737,02 "," 20.676,29 "," 0,00 ",-,CFD,
2915051980,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141685,15/01/2025 14:59:08,15/01/2025 15:02:03,20," 0,45 ",0.00," 3,94 ",-,-," 21.173,64 "," 21.201,45 "," 21.697,34 "," 20.644,30 "," 0,00 ",-,CFD,
2914919439,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 250,00 ",0.236061,15/01/2025 14:49:52,15/01/2025 15:01:56,20," 0,75 ",0.00," 3,95 ",-,-," 21.180,94 "," 21.197,66 "," 21.300,64 "," 20.651,42 "," 0,00 ",-,CFD,
2907347645,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 262,50 ",0.198159,08/01/2025 13:59:52,15/01/2025 15:01:40,20," 0,63 ",0.00," 0,61 ",-,-," 21.195,09 "," 21.198,16 "," 21.300,17 "," 20.400,22 ","(7,03)",-,CFD,
2915045593,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141781,15/01/2025 14:56:35,15/01/2025 14:58:30,20," 0,45 ",0.00," 1,05 ",-,-," 21.159,34 "," 21.166,76 "," 21.300,47 "," 20.630,36 "," 0,00 ",-,CFD,
2914752646,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 250,00 ",0.236334,15/01/2025 13:45:25,15/01/2025 14:49:43,20," 0,75 ",0.00," 5,74 ",-,-," 21.156,49 "," 21.180,76 "," 21.680,79 "," 20.627,58 "," 0,00 ",-,CFD,
2914914256,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.189065,15/01/2025 14:47:21,15/01/2025 14:49:37,20," 0,60 ",0.00," 4,22 ",-,-," 21.156,74 "," 21.179,06 "," 21.687,09 "," 20.627,83 "," 0,00 ",-,CFD,
2914765146,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141903,15/01/2025 14:04:18,15/01/2025 14:47:09,20," 0,45 ",0.00," 1,93 ",-,-," 21.141,19 "," 21.154,76 "," 21.669,51 "," 20.612,66 "," 0,00 ",-,CFD,
2914764315,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141920,15/01/2025 14:02:37,15/01/2025 14:46:46,20," 0,45 ",0.00," 0,66 ",-,-," 21.138,59 "," 21.143,26 "," 21.663,88 "," 20.610,13 "," 0,00 ",-,CFD,
2914759190,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.189295,15/01/2025 13:54:09,15/01/2025 14:04:00,20," 0,60 ",0.00," 1,22 ",-,-," 21.130,99 "," 21.137,41 "," 21.659,78 "," 20.602,72 "," 0,00 ",-,CFD,
2914730024,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 200,00 ",0.192050,15/01/2025 13:16:22,15/01/2025 14:03:24,20," 0,61 ",0.00,"(59,84)",-,-," 20.827,83 "," 21.139,39 "," 20.306,84 "," 21.348,52 "," 0,00 ",-,CFD,
2914750469,USD/JPY (USDJPY),Long," 150,00 ",4500.000000,15/01/2025 13:42:36,15/01/2025 13:53:58,30," 0,26 ",0.00,"(6,19)",0.0064,0.0064," 156,59 "," 156,37 "," 159,21 "," 154,02 "," 0,00 ",-,CFD,
2914750996,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,98 ",0.189259,15/01/2025 13:43:23,15/01/2025 13:45:14,20," 0,60 ",0.00," 1,22 ",-,-," 21.133,99 "," 21.140,41 "," 21.661,42 "," 20.605,67 "," 0,00 ",-,CFD,
2914742128,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141966,15/01/2025 13:35:03,15/01/2025 13:36:43,20," 0,45 ",0.00,"(1,63)",-,-," 21.131,69 "," 21.120,21 "," 21.662,34 "," 20.603,40 "," 0,00 ",-,CFD,
