Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
2946576226,USD/JPY (USDJPY),Short," 99,99 ",3000,19/02/2025 19:00:05,19/02/2025 21:32:18,30," 0,18 ",-0.10," 2,42 ",0.0066,0.0066," 151,63 "," 151,51 "," 149,13 "," 154,19 "," 0,00 ",-,CFD,,
2946576830,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 199,99 ",0.180519,19/02/2025 19:01:13,19/02/2025 21:32:08,20," 0,60 ",0.00," 2,12 ",-,-," 22.158,09 "," 22.146,37 "," 21.604,04 "," 22.711,94 ","(0,71)",-,CFD,US6311011026,
2946607777,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 100,00 ",0.09007,19/02/2025 19:46:25,19/02/2025 21:32:01,20," 0,30 ",0.00," 5,28 ",-,-," 22.204,78 "," 22.146,17 "," 21.650,00 "," 22.759,90 ","(0,35)",-,CFD,US6311011026,
2945670258,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.135232,19/02/2025 07:48:46,19/02/2025 19:32:52,20," 0,45 ",0.00," 1,06 ",-,-," 22.183,87 "," 22.191,69 "," 22.739,47 "," 21.629,27 "," 0,00 ",-,CFD,US6311011026,
2946575948,USD/JPY (USDJPY),Long," 49,68 ",1490.3898,13/02/2025 18:52:42,19/02/2025 18:59:24,30," 0,09 ",-0.02,"(16,34)",0.0065,0.0066," 153,30 "," 151,63 "," 153,37 "," 150,78 "," 0,46 ",-,CFD,,
2946474651,NASDAQ100 Index (Non Expiry) (NSDQ100),Short," 100,00 ",0.090207,19/02/2025 17:08:29,19/02/2025 18:07:48,20," 0,30 ",0.00," 2,16 ",-,-," 22.171,59 "," 22.147,62 "," 21.616,81 "," 22.725,87 "," 0,00 ",-,CFD,US6311011026,
2945848428,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.135506,19/02/2025 14:05:38,19/02/2025 17:08:04,20," 0,45 ",0.00," 4,00 ",-,-," 22.139,37 "," 22.168,89 "," 22.692,03 "," 21.585,89 "," 0,00 ",-,CFD,US6311011026,
2946388316,USD/JPY (USDJPY),Long," 100,00 ",3000,19/02/2025 15:55:18,19/02/2025 16:05:15,30," 0,18 ",-0.04," 1,88 ",0.0066,0.0066," 151,43 "," 151,52 "," 153,95 "," 148,95 "," 0,00 ",-,CFD,,
2946335397,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.135908,19/02/2025 15:26:11,19/02/2025 15:55:24,20," 0,45 ",0.00," 3,14 ",-,-," 22.073,96 "," 22.097,09 "," 22.626,49 "," 21.522,75 "," 0,00 ",-,CFD,US6311011026,
2946149111,USD/JPY (USDJPY),Long," 100,00 ",3000,19/02/2025 15:08:02,19/02/2025 15:55:10,30," 0,18 ",-0.06," 1,70 ",0.0066,0.0066," 151,34 "," 151,42 "," 151,80 "," 148,86 "," 0,00 ",-,CFD,,
