Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
10/01/2025 00:17:01,Index price adjustment,NSDQ100/USD," 0,08 ",-," 0,08 "," 2.487,16 "," 76,15 ",2903936539,CFD," 0,00 "
10/01/2025 00:17:01,Index price adjustment,NSDQ100/USD," 0,11 ",-," 0,11 "," 2.487,27 "," 76,26 ",2905582138,CFD," 0,00 "
10/01/2025 00:17:01,Index price adjustment,NSDQ100/USD," 0,11 ",-," 0,11 "," 2.487,38 "," 76,37 ",2905903612,CFD," 0,00 "
10/01/2025 00:17:01,Index price adjustment,NSDQ100/USD," 0,09 ",-," 0,09 "," 2.487,47 "," 76,46 ",2905931265,CFD," 0,00 "
10/01/2025 00:17:01,Index price adjustment,NSDQ100/USD," 0,11 ",-," 0,11 "," 2.487,58 "," 76,57 ",2906817461,CFD," 0,00 "
10/01/2025 00:17:01,Index price adjustment,NSDQ100/USD," 0,06 ",-," 0,06 "," 2.487,64 "," 76,63 ",2906817553,CFD," 0,00 "
10/01/2025 00:17:01,Index price adjustment,NSDQ100/USD," 0,06 ",-," 0,06 "," 2.487,70 "," 76,69 ",2906873075,CFD," 0,00 "
10/01/2025 00:17:01,Index price adjustment,NSDQ100/USD," 0,09 ",-," 0,09 "," 2.487,79 "," 76,78 ",2907347645,CFD," 0,00 "
10/01/2025 00:17:01,Index price adjustment,NSDQ100/USD," 0,09 ",-," 0,09 "," 2.487,88 "," 76,87 ",2908571158,CFD," 0,00 "
10/01/2025 00:17:01,Index price adjustment,NSDQ100/USD," 0,07 ",-," 0,07 "," 2.487,95 "," 76,94 ",2908600210,CFD," 0,00 "
10/01/2025 00:48:50,Overnight fee,Daily,"(1,22)",-,"(1,22)"," 2.486,73 "," 75,72 ",2906817461,CFD," 0,00 "
10/01/2025 00:48:50,Overnight fee,Daily,"(0,73)",-,"(0,73)"," 2.486,00 "," 74,99 ",2906873075,CFD," 0,00 "
10/01/2025 00:48:50,Overnight fee,Daily,"(0,73)",-,"(0,73)"," 2.485,27 "," 74,26 ",2906817553,CFD," 0,00 "
10/01/2025 00:48:50,Overnight fee,Daily,"(0,74)",-,"(0,74)"," 2.484,53 "," 73,52 ",2908600210,CFD," 0,00 "
10/01/2025 00:48:50,Overnight fee,Daily,"(0,96)",-,"(0,96)"," 2.483,57 "," 72,56 ",2903936539,CFD," 0,00 "
10/01/2025 00:48:50,Overnight fee,Daily,"(0,97)",-,"(0,97)"," 2.482,60 "," 71,59 ",2905931265,CFD," 0,00 "
10/01/2025 00:48:50,Overnight fee,Daily,"(0,98)",-,"(0,98)"," 2.481,62 "," 70,61 ",2908571158,CFD," 0,00 "
10/01/2025 00:48:50,Overnight fee,Daily,"(1,03)",-,"(1,03)"," 2.480,59 "," 69,58 ",2907347645,CFD," 0,00 "
10/01/2025 00:48:50,Overnight fee,Daily,"(1,20)",-,"(1,20)"," 2.479,39 "," 68,38 ",2905582138,CFD," 0,00 "
10/01/2025 00:48:50,Overnight fee,Daily,"(1,21)",-,"(1,21)"," 2.478,18 "," 67,17 ",2905903612,CFD," 0,00 "
10/01/2025 07:18:07,Position closed,NSDQ100/USD," 151,54 ",0.142281," 1,55 "," 2.479,73 "," 218,71 ",2909867021,CFD," 0,00 "
10/01/2025 07:18:46,Open Position,NSDQ100/USD," 149,99 ",0.142163," 0,00 "," 2.479,73 "," 68,72 ",2909904545,CFD," 0,00 "
10/01/2025 08:27:17,Position closed,NSDQ100/USD," 151,91 ",0.142163," 1,92 "," 2.481,65 "," 220,63 ",2909904545,CFD," 0,00 "
10/01/2025 08:29:04,Position closed,USD/JPY," 95,01 ",3000.000000,"(4,98)"," 2.476,67 "," 315,64 ",2909866590,CFD," 0,00 "
10/01/2025 09:11:57,Open Position,USD/JPY," 249,99 ",7500.000000," 0,00 "," 2.476,67 "," 65,65 ",2909959072,CFD," 0,00 "
