Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,Notes
2911315363,NVIDIA Corporation (NVDA.EXT),Long," 299,99 ",10.986234,10/01/2025 17:40:27,10/01/2025 18:59:12,5," 4,52 ",-0.22," 3,40 ",-,-," 136,53 "," 136,84 "," 409,59 "," 122,89 "," 0,00 ",-,CFD,
2911392389,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.190806,10/01/2025 18:50:28,10/01/2025 18:58:54,20," 0,60 ",0.00," 4,95 ",-,-," 20.963,63 "," 20.989,57 "," 21.488,23 "," 20.439,54 "," 0,00 ",-,CFD,
2911362034,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.286639,10/01/2025 18:32:39,10/01/2025 18:49:56,20," 0,90 ",-0.01," 10,91 ",-,-," 20.932,22 "," 20.970,27 "," 21.456,14 "," 20.408,92 "," 0,00 ",-,CFD,
2911348374,USD/JPY (USDJPY),Long," 199,99 ",6000.000000,10/01/2025 18:17:18,10/01/2025 18:32:49,30," 0,34 ",-0.08," 1,33 ",0.0063,0.0063," 157,91 "," 157,94 "," 160,54 "," 155,32 "," 0,00 ",-,CFD,
2911348554,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.143666,10/01/2025 18:17:34,10/01/2025 18:32:24,20," 0,45 ",0.00," 7,05 ",-,-," 20.881,72 "," 20.930,78 "," 21.403,35 "," 20.359,68 "," 0,00 ",-,CFD,
2910487225,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 202,29 ",0.191059,10/01/2025 14:43:32,10/01/2025 18:32:17,20," 0,60 ",0.00,"(0,81)",-,-," 20.935,93 "," 20.931,68 "," 21.458,30 "," 20.400,54 "," 0,00 ",-,CFD,
2910775957,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,98 ",0.143680,10/01/2025 14:57:11,10/01/2025 18:15:51,20," 0,45 ",0.00," 0,97 ",-,-," 20.878,32 "," 20.885,08 "," 21.401,20 "," 20.356,40 "," 0,00 ",-,CFD,
2911335303,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.191688,10/01/2025 17:59:44,10/01/2025 18:15:43,20," 0,60 ",0.00," 5,09 ",-,-," 20.867,12 "," 20.893,68 "," 21.387,26 "," 20.345,44 "," 0,00 ",-,CFD,
2911281183,USD/JPY (USDJPY),Long," 150,00 ",4500.000000,10/01/2025 17:20:28,10/01/2025 18:15:10,30," 0,26 ",-0.08," 2,82 ",0.0063,0.0063," 157,76 "," 157,86 "," 160,39 "," 155,17 "," 0,00 ",-,CFD,
2911316306,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.288091,10/01/2025 17:41:05,10/01/2025 17:59:12,20," 0,90 ",0.00," 10,04 ",-,-," 20.826,72 "," 20.861,58 "," 21.345,85 "," 20.306,06 "," 0,00 ",-,CFD,
2911314428,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 249,99 ",0.240175,10/01/2025 17:39:57,10/01/2025 17:40:55,20," 0,75 ",0.00," 0,88 ",-,-," 20.818,12 "," 20.821,78 "," 21.338,37 "," 20.297,67 "," 0,00 ",-,CFD,
2911251395,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 250,00 ",0.240589,10/01/2025 16:52:22,10/01/2025 17:39:41,20," 0,75 ",-0.01," 8,53 ",-,-," 20.782,31 "," 20.817,78 "," 21.301,15 "," 20.262,76 "," 0,00 ",-,CFD,
2911244021,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.288478,10/01/2025 16:44:42,10/01/2025 17:39:33,20," 0,90 ",-0.01," 5,18 ",-,-," 20.798,81 "," 20.816,78 "," 21.319,40 "," 20.278,84 "," 0,00 ",-,CFD,
2911281450,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.144576,10/01/2025 17:20:47,10/01/2025 17:39:26,20," 0,45 ",0.00," 9,97 ",-,-," 20.750,31 "," 20.819,28 "," 21.271,12 "," 20.231,56 "," 0,00 ",-,CFD,
2911275702,USD/JPY (USDJPY),Long," 100,00 ",3000.000000,10/01/2025 17:14:06,10/01/2025 17:20:04,30," 0,17 ",-0.08," 1,60 ",0.0063,0.0063," 157,66 "," 157,75 "," 160,29 "," 155,08 "," 0,00 ",-,CFD,
2911275182,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.192904,10/01/2025 17:13:25,10/01/2025 17:19:32,20," 0,60 ",0.00," 3,01 ",-,-," 20.735,71 "," 20.751,29 "," 21.252,77 "," 20.217,32 "," 0,00 ",-,CFD,
2911243198,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.288651,10/01/2025 16:43:48,10/01/2025 16:44:23,20," 0,90 ",0.00," 1,99 ",-,-," 20.786,31 "," 20.793,19 "," 21.306,58 "," 20.266,66 "," 0,00 ",-,CFD,
2911242670,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.288761,10/01/2025 16:43:21,10/01/2025 16:43:36,20," 0,90 ",0.00," 2,36 ",-,-," 20.778,41 "," 20.786,59 "," 21.298,59 "," 20.258,95 "," 0,00 ",-,CFD,
2911235917,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.289562,10/01/2025 16:38:38,10/01/2025 16:41:27,20," 0,90 ",0.00," 12,07 ",-,-," 20.720,91 "," 20.762,59 "," 21.240,37 "," 20.202,89 "," 0,00 ",-,CFD,
2910568041,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 179,98 ",0.172469,10/01/2025 14:49:49,10/01/2025 14:51:28,20," 0,54 ",0.00," 1,32 ",-,-," 20.871,12 "," 20.878,78 "," 21.399,36 "," 20.352,42 "," 0,00 ",-,CFD,
2910466184,USD/JPY (USDJPY),Long," 199,99 ",6000.000000,10/01/2025 14:39:43,10/01/2025 14:48:22,30," 0,34 ",-0.15,"(1,29)",0.0063,0.0063," 157,98 "," 157,95 "," 160,60 "," 155,40 "," 0,00 ",-,CFD,
2910482634,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 180,00 ",0.171957,10/01/2025 14:43:05,10/01/2025 14:43:13,20," 0,54 ",0.00," 1,69 ",-,-," 20.935,43 "," 20.945,27 "," 21.459,74 "," 20.412,05 "," 0,00 ",-,CFD,
2910472719,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.191214,10/01/2025 14:40:57,10/01/2025 14:41:27,20," 0,60 ",0.00," 3,16 ",-,-," 20.918,92 "," 20.935,47 "," 21.431,54 "," 20.395,95 "," 0,00 ",-,CFD,
2910153504,USD/JPY (USDJPY),Short," 149,99 ",4500.000000,10/01/2025 14:04:31,10/01/2025 14:17:54,30," 0,26 ",-0.08," 4,03 ",0.0063,0.0063," 158,55 "," 158,41 "," 155,91 "," 161,21 "," 0,00 ",-,CFD,
2910092192,USD/JPY (USDJPY),Short," 149,99 ",4500.000000,10/01/2025 13:45:25,10/01/2025 14:04:19,30," 0,26 ",-0.05," 3,63 ",0.0063,0.0063," 158,71 "," 158,58 "," 156,07 "," 161,37 "," 0,00 ",-,CFD,
2910085912,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 250,00 ",0.238564,10/01/2025 13:37:11,10/01/2025 13:44:51,20," 0,75 ",0.00,"(0,09)",-,-," 20.958,68 "," 20.958,32 "," 21.481,11 "," 20.434,72 "," 0,00 ",-,CFD,
2910085626,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 189,99 ",0.181421,10/01/2025 13:36:53,10/01/2025 13:37:03,20," 0,57 ",0.00," 1,95 ",-,-," 20.945,68 "," 20.956,42 "," 21.468,71 "," 20.422,04 "," 0,00 ",-,CFD,
2910079095,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.191473,10/01/2025 13:34:34,10/01/2025 13:36:01,20," 0,60 ",0.00," 6,92 ",-,-," 20.890,57 "," 20.926,73 "," 21.417,34 "," 20.369,53 "," 0,00 ",-,CFD,
2909997353,USD/JPY (USDJPY),Long," 199,99 ",6000.000000,10/01/2025 11:24:20,10/01/2025 13:31:22,30," 0,34 ",-0.23," 23,35 ",0.0063,0.0063," 158,15 "," 158,77 "," 160,79 "," 155,56 "," 0,00 ",-,CFD,
2908571158,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.188881,08/01/2025 21:27:38,10/01/2025 11:22:49,20," 0,60 ",0.00," 0,59 ",-,-," 21.177,29 "," 21.180,41 "," 21.250,00 "," 20.647,86 ","(1,87)",-,CFD,
2908600210,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141817,09/01/2025 02:17:22,10/01/2025 11:22:37,20," 0,45 ",0.00," 3,92 ",-,-," 21.153,89 "," 21.181,51 "," 21.682,63 "," 20.625,04 ","(0,67)",-,CFD,
2909959072,USD/JPY (USDJPY),Long," 249,99 ",7500.000000,10/01/2025 09:11:57,10/01/2025 11:16:25,30," 0,43 ",-0.04," 21,34 ",0.0063,0.0063," 157,69 "," 158,14 "," 160,32 "," 155,11 "," 0,00 ",-,CFD,
2909866590,USD/JPY (USDJPY),Short," 99,99 ",3000.000000,09/01/2025 23:23:54,10/01/2025 08:29:04,30," 0,17 ",0.00,"(4,98)",0.0063,0.0063," 158,07 "," 158,33 "," 155,43 "," 160,72 "," 0,00 ",-,CFD,
2909904545,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.142163,10/01/2025 07:18:46,10/01/2025 08:27:17,20," 0,45 ",0.00," 1,92 ",-,-," 21.102,49 "," 21.116,01 "," 21.629,74 "," 20.574,93 "," 0,00 ",-,CFD,
2909867021,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.142281,09/01/2025 23:25:06,10/01/2025 07:18:07,20," 0,45 ",0.00," 1,55 ",-,-," 21.084,89 "," 21.095,81 "," 21.612,01 "," 20.557,77 "," 0,00 ",-,CFD,
2909864964,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.142209,09/01/2025 23:16:43,09/01/2025 23:20:56,20," 0,45 ",0.00,"(2,43)",-,-," 21.095,69 "," 21.078,61 "," 21.622,26 "," 20.568,30 "," 0,00 ",-,CFD,
2908751213,USD/JPY (USDJPY),Long," 100,00 ",3000.000000,09/01/2025 10:34:01,09/01/2025 17:43:35,30," 0,17 ",-0.08," 2,05 ",0.0063,0.0063," 158,01 "," 158,12 "," 160,64 "," 155,42 "," 0,00 ",-,CFD,
2908751098,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141852,09/01/2025 10:33:21,09/01/2025 13:39:19,20," 0,45 ",0.00," 0,19 ",-,-," 21.148,79 "," 21.150,11 "," 21.677,10 "," 20.620,07 "," 0,00 ",-,CFD,
2908738429,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.189302,09/01/2025 09:42:55,09/01/2025 10:33:03,20," 0,60 ",0.00," 2,82 ",-,-," 21.130,19 "," 21.145,11 "," 21.658,44 "," 20.601,94 "," 0,00 ",-,CFD,
2908691613,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.189750,09/01/2025 08:17:33,09/01/2025 09:41:07,20," 0,60 ",0.00," 8,07 ",-,-," 21.080,29 "," 21.122,81 "," 21.607,19 "," 20.553,29 "," 0,00 ",-,CFD,
2908683391,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.189940,09/01/2025 08:08:10,09/01/2025 08:17:19,20," 0,60 ",0.00," 2,80 ",-,-," 21.059,28 "," 21.074,01 "," 21.585,45 "," 20.532,80 "," 0,00 ",-,CFD,
2908589461,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141962,09/01/2025 00:58:28,09/01/2025 02:04:25,20," 0,45 ",0.00," 1,14 ",-,-," 21.132,29 "," 21.140,31 "," 21.660,49 "," 20.603,98 "," 0,00 ",-,CFD,
2908585385,USD/JPY (USDJPY),Long," 249,99 ",7500.000000,08/01/2025 23:50:40,09/01/2025 00:53:32,30," 0,43 ",-0.14," 2,89 ",0.0063,0.0063," 158,23 "," 158,29 "," 160,86 "," 155,63 "," 0,00 ",-,CFD,
2908571079,USD/JPY (USDJPY),Short," 149,99 ",4500.000000,08/01/2025 21:26:45,08/01/2025 23:48:24,30," 0,26 ",-0.11," 4,18 ",0.0063,0.0063," 158,39 "," 158,24 "," 155,75 "," 161,04 ","(2,16)",-,CFD,
2908544538,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.189107,08/01/2025 20:35:53,08/01/2025 21:24:16,20," 0,60 ",0.00," 2,34 ",-,-," 21.151,94 "," 21.164,31 "," 21.680,02 "," 20.623,14 "," 0,00 ",-,CFD,
2908511241,USD/JPY (USDJPY),Short," 149,99 ",4500.000000,08/01/2025 19:58:07,08/01/2025 20:34:39,30," 0,26 ",-0.14," 0,80 ",0.0063,0.0063," 158,44 "," 158,41 "," 155,81 "," 161,10 "," 0,00 ",-,CFD,
2908459780,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.141963,08/01/2025 19:00:57,08/01/2025 19:57:16,20," 0,45 ",0.00," 3,11 ",-,-," 21.132,24 "," 21.154,16 "," 21.658,80 "," 20.603,94 "," 0,00 ",-,CFD,
2907893416,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 99,99 ",0.094622,08/01/2025 15:26:48,08/01/2025 18:27:12,20," 0,30 ",0.00," 5,26 ",-,-," 21.136,54 "," 21.192,16 "," 21.658,60 "," 20.608,13 "," 0,00 ",-,CFD,
2908376831,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 250,00 ",0.237485,08/01/2025 17:49:01,08/01/2025 18:27:05,20," 0,76 ",0.00," 33,78 ",-,-," 21.053,93 "," 21.196,16 "," 21.581,41 "," 20.527,59 "," 0,00 ",-,CFD,
2908337330,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 200,00 ",0.190191,08/01/2025 17:32:24,08/01/2025 17:48:51,20," 0,60 ",0.00," 3,79 ",-,-," 21.031,43 "," 21.051,37 "," 21.557,83 "," 20.505,65 "," 0,00 ",-,CFD,
