Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
13/02/2025 00:09:17,Open Position,USD/JPY," 199,99 ",6000," 0,00 "," 4.970,99 "," 1.016,93 ",2941080391,CFD," 0,00 "
13/02/2025 00:47:55,Weekend refund,Weekend Fee," 3,50 ",-," 3,50 "," 4.974,49 "," 1.020,43 ",2940997965,CFD," 0,00 "
13/02/2025 00:47:55,Weekend refund,Weekend Fee," 2,80 ",-," 2,80 "," 4.977,29 "," 1.023,23 ",2940842464,CFD," 0,00 "
13/02/2025 00:47:55,Weekend refund,Weekend Fee," 2,80 ",-," 2,80 "," 4.980,09 "," 1.026,03 ",2940788628,CFD," 0,00 "
13/02/2025 00:47:55,Weekend refund,Weekend Fee," 1,75 ",-," 1,75 "," 4.981,84 "," 1.027,78 ",2940872465,CFD," 0,00 "
13/02/2025 00:47:55,Weekend refund,Weekend Fee," 1,40 ",-," 1,40 "," 4.983,24 "," 1.029,18 ",2940789027,CFD," 0,00 "
13/02/2025 00:47:55,Overnight fee,Daily,"(0,03)",-,"(0,03)"," 4.983,21 "," 1.029,15 ",2940436584,CFD," 0,00 "
13/02/2025 00:47:55,Overnight fee,Daily,"(1,20)",-,"(1,20)"," 4.982,01 "," 1.027,95 ",2938586783,CFD," 0,00 "
13/02/2025 00:47:55,Overnight fee,Weekend Fee,"(2,07)",-,"(2,07)"," 4.979,94 "," 1.025,88 ",2937534559,CFD," 0,00 "
13/02/2025 00:47:55,Overnight fee,Weekend Fee,"(2,07)",-,"(2,07)"," 4.977,87 "," 1.023,81 ",2939910134,CFD," 0,00 "
13/02/2025 00:47:55,Overnight fee,Weekend Fee,"(2,76)",-,"(2,76)"," 4.975,11 "," 1.021,05 ",2939961593,CFD," 0,00 "
13/02/2025 00:47:55,Overnight fee,Weekend Fee,"(2,76)",-,"(2,76)"," 4.972,35 "," 1.018,29 ",2939684671,CFD," 0,00 "
13/02/2025 00:47:55,Overnight fee,Weekend Fee,"(3,45)",-,"(3,45)"," 4.968,90 "," 1.014,84 ",2938476606,CFD," 0,00 "
13/02/2025 00:47:55,Overnight fee,Weekend Fee,"(3,45)",-,"(3,45)"," 4.965,45 "," 1.011,39 ",2939094941,CFD," 0,00 "
13/02/2025 00:47:55,Overnight fee,Weekend Fee,"(4,14)",-,"(4,14)"," 4.961,31 "," 1.007,25 ",2939176899,CFD," 0,00 "
13/02/2025 00:47:55,Overnight fee,Weekend Fee,"(5,52)",-,"(5,52)"," 4.955,79 "," 1.001,73 ",2939122280,CFD," 0,00 "
13/02/2025 07:14:17,Open Position,USD/JPY," 199,99 ",6000," 0,00 "," 4.955,79 "," 801,74 ",2941125103,CFD," 0,00 "
13/02/2025 07:58:24,Position closed,USD/JPY," 203,06 ",6000," 3,07 "," 4.958,86 "," 1.004,80 ",2941080391,CFD," 0,00 "
13/02/2025 07:58:31,Position closed,USD/JPY," 204,58 ",6000," 4,59 "," 4.963,45 "," 1.209,38 ",2941125103,CFD," 0,00 "
13/02/2025 07:59:18,Open Position,USD/JPY," 199,99 ",6000," 0,00 "," 4.963,45 "," 1.009,39 ",2941132308,CFD," 0,00 "
13/02/2025 08:47:58,Open Position,USD/JPY," 199,99 ",6000," 0,00 "," 4.963,45 "," 809,40 ",2941200534,CFD," 0,00 "
13/02/2025 08:48:56,Open Position,USD/JPY," 249,99 ",7500," 0,00 "," 4.963,45 "," 559,41 ",2941200833,CFD," 0,00 "
13/02/2025 09:09:52,Open Position,USD/JPY," 150,00 ",4500," 0,00 "," 4.963,45 "," 409,41 ",2941207648,CFD," 0,00 "
13/02/2025 09:20:40,Position closed,USD/JPY," 55,03 ",2252.979688,"(41,29)"," 4.922,16 "," 464,44 ",2941210550,CFD," 0,00 "
13/02/2025 09:21:16,Position closed,USD/JPY," 54,92 ",2247.020312,"(41,15)"," 4.881,01 "," 519,36 ",2937534559,CFD," 0,00 "
13/02/2025 09:42:39,Position closed,USD/JPY," 153,83 ",4500," 3,83 "," 4.884,84 "," 673,19 ",2941207648,CFD," 0,00 "
13/02/2025 10:05:21,Open Position,USD/JPY," 249,99 ",7500," 0,00 "," 4.884,84 "," 423,20 ",2941226215,CFD," 0,00 "
13/02/2025 10:32:19,Open Position,USD/JPY," 199,99 ",6000," 0,00 "," 4.884,84 "," 223,21 ",2941233312,CFD," 0,00 "
13/02/2025 12:48:57,Position closed,USD/JPY," 196,09 ",6000,"(3,90)"," 4.880,94 "," 419,30 ",2941233312,CFD," 0,00 "
13/02/2025 13:30:43,Position closed,USD/JPY," 251,50 ",7500," 1,51 "," 4.882,45 "," 670,80 ",2941226215,CFD," 0,00 "
13/02/2025 13:38:03,Position closed,NSDQ100/USD," 308,66 ",0.229433," 2,05 "," 4.884,50 "," 979,46 ",2938586783,CFD," 0,00 "
13/02/2025 13:46:41,Open Position,USD/JPY," 199,99 ",6000," 0,00 "," 4.884,50 "," 779,47 ",2941292796,CFD," 0,00 "
13/02/2025 13:52:33,Position closed,USD/JPY," 327,94 ",12000,"(109,50)"," 4.775,00 "," 1.107,41 ",2939122280,CFD," 0,00 "
13/02/2025 13:52:43,Open Position,USD/JPY," 249,99 ",7500," 0,00 "," 4.775,00 "," 857,42 ",2941300167,CFD," 0,00 "
13/02/2025 13:58:31,Open Position,USD/JPY," 200,00 ",6000," 0,00 "," 4.775,00 "," 657,42 ",2941301619,CFD," 0,00 "
13/02/2025 14:03:39,Position closed,USD/JPY," 251,11 ",7500," 1,12 "," 4.776,12 "," 908,53 ",2941300167,CFD," 0,00 "
13/02/2025 14:03:48,Open Position,USD/JPY," 199,99 ",6000," 0,00 "," 4.776,12 "," 708,54 ",2941303280,CFD," 0,00 "
13/02/2025 14:17:06,Position closed,USD/JPY," 201,76 ",6000," 1,76 "," 4.777,88 "," 910,30 ",2941301619,CFD," 0,00 "
