Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
01/01/2025 00:48:54,Overnight fee,Daily,"(0,49)",-,"(0,49)"," 2.082,30 "," 1.572,32 ",2897757002,CFD," 0,00 "
01/01/2025 00:48:54,Overnight fee,Daily,"(0,98)",-,"(0,98)"," 2.081,32 "," 1.571,34 ",2897953303,CFD," 0,00 "
01/01/2025 00:48:54,Overnight fee,Daily,"(1,04)",-,"(1,04)"," 2.080,28 "," 1.570,30 ",2898352853,CFD," 0,00 "
01/01/2025 23:02:40,Open Position,USD/JPY," 50,00 ",1500.000000," 0,00 "," 2.080,28 "," 1.520,30 ",2898495172,CFD," 0,00 "
02/01/2025 00:48:16,Overnight fee,Daily,"(0,49)",-,"(0,49)"," 2.079,79 "," 1.519,81 ",2897757002,CFD," 0,00 "
02/01/2025 00:48:16,Overnight fee,Daily,"(0,98)",-,"(0,98)"," 2.078,81 "," 1.518,83 ",2897953303,CFD," 0,00 "
02/01/2025 00:48:16,Overnight fee,Daily,"(1,04)",-,"(1,04)"," 2.077,77 "," 1.517,79 ",2898352853,CFD," 0,00 "
02/01/2025 07:32:55,Position closed,NSDQ100/USD," 238,34 ",0.199904," 28,34 "," 2.106,11 "," 1.756,13 ",2898352853,CFD," 0,00 "
02/01/2025 07:33:14,Position closed,NSDQ100/USD," 175,84 ",0.187969,"(24,15)"," 2.081,96 "," 1.931,97 ",2897953303,CFD," 0,00 "
02/01/2025 07:33:34,Position closed,USD/JPY," 43,79 ",1500.000000,"(6,21)"," 2.075,75 "," 1.975,76 ",2898495172,CFD," 0,00 "
02/01/2025 07:52:15,Open Position,USD/JPY," 150,00 ",4500.000000," 0,00 "," 2.075,75 "," 1.825,76 ",2898554632,CFD," 0,00 "
02/01/2025 07:52:57,Open Position,NSDQ100/USD," 149,99 ",0.141887," 0,00 "," 2.075,75 "," 1.675,77 ",2898554750,CFD," 0,00 "
02/01/2025 08:09:55,Position closed,USD/JPY," 154,11 ",4500.000000," 4,11 "," 2.079,86 "," 1.829,88 ",2898554632,CFD," 0,00 "
02/01/2025 08:10:29,Position closed,NSDQ100/USD," 156,26 ",0.141887," 6,27 "," 2.086,13 "," 1.986,14 ",2898554750,CFD," 0,00 "
02/01/2025 08:10:29,Position closed,NSDQ100/USD," 87,42 ",0.093801,"(12,57)"," 2.073,56 "," 2.073,56 ",2897757002,CFD," 0,00 "
02/01/2025 08:11:09,Open Position,USD/JPY," 199,99 ",6000.000000," 0,00 "," 2.073,56 "," 1.873,57 ",2898597864,CFD," 0,00 "
